t_h,T_room_C,RH_pct,T_product_max_C,T_product_aged_max_C,inventory_kg,P_pv_bus_W,P_load_W,P_compressor_elec_W,P_pcm_charge_elec_W,P_compressor_total_W,Q_evap_delivered_W,Q_evap_used_W,Q_pcm_cooling_W,Q_pcm_charge_W,Q_evap_cycle_W,Q_evap_airside_limit_W,Q_evap_sensible_W,Q_evap_latent_W,room_gains_W,product_heat_W,condensate_kg_s,battery_soc,battery_floor_soc,battery_soc_hard_clamped,pcm_soc,pcm_energy_residual_W,pcm_energy_clamped,unmet_W,refrigeration_unmet_W,electrical_unmet_W,refrigeration_required_W,refrigeration_delivered_W,curtailment_W,refrig_residual_W,bus_residual_W,condenser_adequate,condenser_capacity_W,condenser_margin_W,condenser_limited,inventory_violation,refrig_feasible,refrig_cycle_hard_failure,compressor_fraction_actual,thermal_power_budget_W,battery_available_above_reserve_W,fan_only_mode,fan_power_W,fan_only_airflow_m3_h,compressor_power_possible,min_compressor_power_W,fan_energy_savings_W,_f_thermal,_f_power,_f_condenser,compressor_commanded_fraction,dispatch_limiting_cause,daytime,night_room_sensible_demand_W,night_pcm_cooling_W,emergency_pcm_used,dispatch_violation,dispatch_removed_kg,dispatch_shortfall_kg
6057.0,4.0,94.99999999999999,4.0011662864394815,4.000000006651669,4453.571428571428,6442.3902396892445,2002.4942325895304,464.8985574557114,1212.595675133819,1677.4942325895304,1533.5649532294638,5533.564953229463,0.0,3999.999999999999,5533.564953229463,14400.0,837.825871912346,695.7390813171178,837.825871912346,0.29739287147946003,2.4818587325705775e-05,0.9484531047053428,0.2,False,0.9673887820665583,0.0,False,0.0,0.0,0.0,1533.5649532294638,1533.5649532294638,3824.7929827664907,0.0,0.0,True,17774.024770000007,10776.007351719883,False,False,True,False,0.08905525450814587,27261.799704661014,21144.40946497177,False,250.0,0.0,True,2135.8279462130654,0.0,0.08905525450814587,1.0,0.9974141778286294,1.0,NONE,True,0.0,0.0,False,False,193326.42857143295,0.0
6058.0,4.0,94.99999999999999,4.0007051970002525,4.000155892832032,4235.0,7860.697148572996,325.0,0.0,0.0,0.0,1537.6505565134903,3471.245007345334,0.0,1148.6904717669681,4658.925519040394,14400.0,840.2961456045796,697.3544109089107,840.2961456045796,0.1798190854007384,2.48247701223555e-05,0.9490051400364549,0.2,False,1.0,1.1368683772161603e-13,True,0.0,0.0,0.0,1537.6505565134903,1537.6505565134903,7489.468774023832,0.0,0.0,True,17774.02477,11848.0418110814,False,False,True,False,1e-09,29231.915023835303,21696.217875262308,False,250.0,0.0,True,2177.074634611839,0.0,1e-09,1.0,0.9997792731189099,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6059.0,4.0,94.99999999999999,20.43481588124427,4.000155892832032,4453.571428571428,9044.664933656093,2510.027561870823,1985.0275618708226,0.0,1985.0275618708226,6223.349407205366,6223.349407205366,0.0,0.0,6223.349407205366,14400.0,3623.785258039037,2599.564149166329,3623.7852580390354,2524.7106506419086,4.440102265153193e-05,0.9490211490610572,0.2,False,0.994641023743276,0.0,False,0.0,0.0,0.0,6223.349407205366,6223.349407205366,6504.906362079843,-4.547473508864641e-13,0.0,True,17774.024770000007,9817.746301281413,False,False,True,False,0.17272783880383866,30231.88525281682,21712.22031916073,False,250.0,0.0,True,2213.0356223257604,0.0,0.17272783880383866,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6060.0,4.0,94.99999999999999,20.43481588124427,4.000155892832032,4672.142857142857,8982.506592526775,3380.6299230142254,2855.6299230142254,0.0,2855.6299230142254,8749.13361530076,8749.13361530076,0.0,0.0,8749.13361530076,14400.0,5157.039282385942,3592.0943329148176,5157.03928238594,4033.586707418559,4.669045958279943e-05,0.9490216133227708,0.2,False,0.9892210920605499,0.0,False,0.0,0.0,0.0,8749.13361530076,8749.13361530076,5572.624083387594,9.094947017729282e-13,0.0,True,17774.024770000007,6531.926231907828,False,False,True,False,0.4525794566500988,30170.19098256056,21712.684390033788,False,250.0,0.0,True,2248.339944042448,0.0,0.4525794566500988,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6061.0,4.0,94.99999999999999,20.43481588124427,4.000155892832032,4890.714285714285,7617.217522301078,3942.241576355659,3417.241576355659,0.0,3417.241576355659,10286.371705921469,10286.371705921469,0.0,0.0,10286.37170592147,14400.0,6087.926615990216,4198.445089931252,6087.9266159902145,4944.709769199887,4.865726537312642e-05,0.9490216267863603,0.2,False,0.9837678013041471,0.0,False,0.0,0.0,0.0,10286.371705921469,10286.371705921469,3645.7372341043006,-4.547473508864641e-13,0.0,True,17774.024769999993,4504.401167920032,False,False,True,False,0.6262660636257259,28804.91537039019,21712.697848089112,False,250.0,0.0,True,2275.600113543368,0.0,0.6262660636257259,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6062.0,4.0,94.99999999999999,20.43481588124427,4.00009426085547,5000.0,6016.381339969302,3572.5269808854264,3047.5269808854264,0.0,3047.5269808854264,9131.126252954804,9131.126252954804,0.0,0.0,9131.126252954804,14400.0,5379.759817587772,3751.366435367032,5379.75981758777,4233.236035923391,4.9342701474633395e-05,0.9490216271768045,0.2,False,0.978350056105522,0.0,False,0.0,0.0,0.0,9131.126252954804,9131.126252954804,2414.6160495969816,0.0,0.0,True,17774.02477,5982.407462732219,False,False,True,False,0.5012653991816259,27204.079578342014,21712.69823837271,False,250.0,0.0,True,2282.7566372834003,0.0,0.5012653991816259,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6063.0,4.0,94.99999999999999,13.986916276031652,4.000056994980193,5000.0,4664.4676649676,2610.1439451461133,1924.9509077819066,360.1930373642067,2285.1439451461133,5838.456234847852,6930.936711231046,0.0,825.5567459662511,6930.936711231046,14400.0,3450.817039583104,2387.639195264748,3450.817039583102,2549.5282458385273,2.878441618125895e-05,0.9490216271881273,0.2,False,1.0,0.0,True,0.0,0.0,0.0,5838.456234847852,5838.456234847852,2025.0854220028698,6.821210263296962e-13,0.0,True,17774.02477,8848.157394656397,False,False,True,False,0.25703927024202494,26052.165914658537,21712.698249690937,False,250.0,0.0,True,2263.895713509902,0.0,0.25703927024202494,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6064.0,4.0,94.99999999999999,10.042048394308319,4.00003446210785,5000.0,3096.170058454642,325.0,0.0,0.0,0.0,4164.595623252549,4164.595623252549,0.0,0.0,4604.291241815957,14400.0,2430.7698976419815,1733.8257256105671,2430.7698976419797,1540.874643503095,2.8259949522539956e-05,0.9490216271884556,0.2,False,0.994564327067251,0.0,False,0.0,0.0,0.0,4164.595623252549,4164.595623252549,2741.9317609744035,2.2737367544323206e-13,0.0,True,17774.02477,11868.59624447125,False,False,True,False,1e-09,24483.868308473808,21712.698250019166,False,250.0,0.0,True,2235.6310672002023,0.0,1e-09,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6065.0,4.0,94.99999999999999,7.653573553657958,4.00002083756979,5000.0,1210.7932045985788,325.0,0.0,0.0,0.0,3142.551024997381,3142.551024997381,0.0,0.0,4639.397045234667,14400.0,1809.3362682178922,1333.2147567794887,1809.3362682178904,931.6436318311548,2.7587898502006048e-05,0.9490216271884652,0.2,False,0.9893157672844924,0.0,False,0.0,0.0,0.0,3142.551024997381,3142.551024997381,856.554907128151,-2.2737367544323206e-13,0.0,True,17774.02477,11855.337258228436,False,False,True,False,1e-09,22598.491454627256,21712.698250028676,False,250.0,0.0,True,2198.0935807187575,0.0,1e-09,1.0,1.0,1.0,NONE,True,0.0,0.0,False,False,193545.0000000044,0.0
6066.0,4.0,94.99999999999999,6.209155822803543,4.000012599470602,5000.0,163.491204669611,325.0,0.0,0.0,0.0,174.2718132599327,174.2718132599327,1427.217721798792,0.0,4683.342431194958,14400.0,0.0,174.2718132599327,1427.21772179879,563.3164586202528,2.6776908844914213e-05,0.9425010464998204,0.2,False,0.9377049596261866,0.0,False,0.0,0.0,0.0,174.2718132599327,174.2718132599327,0.0,-4.547473508864641e-13,0.0,True,17774.02477,11839.001174339377,False,False,True,False,1e-09,21551.189454698568,21712.698250028956,False,250.0,0.0,True,2150.6549174610022,0.0,1e-09,1.0,0.9982563404658565,1.0,NONE,False,1427.217721798792,1427.217721798792,False,False,193545.0000000044,0.0
