x0,x1,x2,x3,x4,x5,x6,x7,pv_kWp,battery_kWh,pcm_kg,compressor_kWh,feasible,failure_reason,unmet_kWh,rh_violation_hours,battery_soc_min,pcm_soc_min,pcm_candidate,pcm_transition_C,pcm_conductivity_W_mK,pcm_usable_enthalpy_J_kg,pcm_leakage_pct,pcm_cycle_retention_500,pcm_cost_INR_kg,pcm_data_status
12.91373528,21.84685997,976.66367677,6.20655692,10.69977137,6.78220751,6470.28531507,26.81489331,12.913735277273629,21.846859970512057,976.6636767714867,6823.459803096714,False,POST_SIM_CONSTRAINT,1630.657122023887,72.0,0.2,0.018996093182264917,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
5.43660235,6.47821767,490.24959191,7.03450648,10.44358894,9.74068218,5548.53950913,34.73446432,5.436602346376168,6.4782176738516855,490.24959191201566,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
14.81826138,13.41420564,422.06873176,6.39642774,7.0103784,14.72331307,7486.13624361,11.10879094,14.818261375381383,13.414205641282129,422.0687317558101,10000.0,False,ROOM_T_LIMIT,,0,0.20465769122846747,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
12.06432379,34.61061962,584.1921405,5.0987088,10.5111826,12.53365724,5458.95104429,18.59473073,12.064323788317505,34.6106196242049,584.1921405042287,6890.260672192687,False,POST_SIM_CONSTRAINT,528.1550992018834,30.0,0.2,0.01688669641612739,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
23.89027157,33.81383919,752.36582737,4.95137584,9.69095235,9.03477275,5898.76218673,26.25209079,23.890271574129006,33.81383919295759,752.365827370091,7076.088549107908,False,POST_SIM_CONSTRAINT,661.0188005749608,0,0.5394549767294745,0.21516702216231753,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
12.42402738,14.88173974,981.89410064,4.19144322,8.91022847,6.53957945,3825.43263421,16.29988015,12.424027384455458,14.881739741672192,981.8941006405416,10000.0,False,ROOM_T_LIMIT,,0,0.20000000000000004,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
24.82541012,26.51916382,907.62666694,3.34638649,9.45150762,12.15911071,6747.779537,31.24764383,24.825410116303757,26.5191638160618,907.6266669404392,6187.934204760638,False,POST_SIM_CONSTRAINT,7255.527930017096,0,0.35220369896041986,0.11895769681004409,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
10.47469796,19.91750252,482.50730528,5.73982849,8.2666094,8.21033404,5485.68409715,22.61217716,10.474697961247191,19.917502521401765,482.5073052766015,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
6.88098907,21.23541218,701.55033245,3.92115485,9.72843196,13.79155277,6808.63794843,37.5244532,6.880989066702842,21.23541218112686,701.5503324461193,10000.0,False,ROOM_T_LIMIT,,0,0.2131327096244547,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
15.62821757,32.70488919,301.43979015,4.13601134,9.76169423,11.52253141,5590.29377907,38.88686974,15.628217565323322,32.70488919012345,301.43979014523387,5987.152565416221,False,POST_SIM_CONSTRAINT,1972.3045806494006,0,0.3025978467780547,0.034222898217168396,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
